X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
LY96	5	0	0	10	10	9
LYAR	169	16	26	124	197	135
LYG1	0	0	0	0	0	0
LYG2	0	0	0	0	0	0
LYL1	1	0	1	1	0	1
LYN	83	5	8	120	52	34
LYNX1	2	0	0	1	5	2
LYPD1	1	2	0	5	0	2
LYPD2	0	0	0	0	0	0
LYPD3	12	1	7	4	7	6
LYPD4	0	0	0	0	0	0
LYPD5	0	0	0	0	0	1
LYPD6	0	0	0	0	1	0
LYPD6B	0	0	1	0	0	0
LYPD8	0	0	0	0	0	0
LYPLA1	112	8	21	110	82	115
LYPLA2	145	56	105	194	153	128
LYPLAL1	3	1	2	2	2	5
LYRM1	2	2	3	2	7	4
LYRM2	18	1	0	23	29	12
LYRM4	14	8	14	25	24	32
LYRM7	3	2	1	2	7	7
LYRM9	16	2	3	30	36	20
LYSMD1	4	0	0	36	15	5
LYSMD2	32	8	8	38	37	24
LYSMD3	28	8	9	66	44	37
LYSMD4	10	3	4	49	25	17
LYST	51	6	15	201	122	88
LYVE1	0	0	0	0	0	0
LYZL1	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0
LZIC	29	7	5	23	27	17
LZTFL1	30	4	4	123	66	65
LZTR1	248	40	70	373	197	120
LZTS1	0	0	0	0	0	0
LZTS2	243	38	71	549	390	332
LZTS3	37	14	28	82	64	27
M1AP	4	0	1	6	1	0
M6PR	238	36	90	434	325	279
MAATS1	1	0	0	2	0	2
MAB21L1	0	0	0	2	0	3
MAB21L2	1	0	2	0	1	0
MAB21L3	0	0	0	1	1	0
MACC1	0	0	1	1	1	0
MACF1	434	131	308	777	441	436
MACROD1	15	9	14	148	68	38
MACROD2	3	3	7	8	12	8
MAD1L1	124	19	15	110	74	82
MAD2L1	146	11	24	105	128	79
MAD2L1BP	27	2	4	46	25	20
MAD2L2	31	8	14	54	43	30
MADCAM1	0	0	0	0	0	0
MADD	42	7	11	98	38	34
MAEA	466	129	205	599	465	460
MAEL	0	0	0	0	0	0
MAF	3	3	14	11	12	12
MAF1	183	40	68	366	293	192
MAFA	5	1	1	11	5	2
MAFB	1	0	1	11	6	2
MAFF	118	15	26	238	121	87
MAFG	285	72	122	863	565	465
MAFK	60	6	15	167	124	108
MAG	0	0	0	0	0	0
MAGEA1	0	0	0	0	0	0
MAGEA10	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0
MAGEA6	0	0	0	0	0	0
MAGEA8	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0
MAGEB16	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0
MAGEB3	0	0	0	1	0	0
MAGEB4	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0
MAGED1	714	213	404	1764	1016	1050
MAGED2	49	22	37	37	19	23
MAGEE1	0	0	1	1	3	2
MAGEE2	0	0	0	0	0	0
MAGEH1	0	0	0	0	0	0
MAGEL2	0	0	0	0	0	0
MAGI1	143	25	63	176	115	52
MAGI2	4	0	0	3	4	1
MAGI3	39	13	30	48	54	38
MAGIX	0	0	1	0	2	0
MAGOH	100	16	36	115	109	81
MAGOHB	15	2	5	28	24	21
MAGT1	118	19	42	192	127	102
MAJIN	0	0	0	1	0	0
MAK	1	0	0	0	0	0
MAK16	58	6	11	100	98	60
MAL	0	0	0	0	0	0
MAL2	0	0	0	0	0	0
MALL	14	7	10	9	2	1
MALRD1	0	1	0	0	1	0
MALSU1	36	6	10	55	58	38
MALT1	27	1	3	57	39	34
MAMDC2	11	4	13	4	7	3
MAMDC4	23	6	8	23	10	10
MAML1	128	9	29	256	158	139
MAML2	54	11	21	89	76	59
MAML3	56	8	30	144	87	44
MAMLD1	1	0	0	3	2	0
MAMSTR	0	0	0	1	0	0
MAN1A2	98	8	26	189	99	89
MAN1B1	183	46	70	394	247	223
MAN1C1	67	6	7	74	25	34
MAN2A1	207	9	47	284	199	128
MAN2A2	190	46	48	616	307	241
MAN2B1	154	39	78	203	145	122
MAN2B2	138	48	92	253	166	118
MAN2C1	136	29	63	283	188	127
MANBA	102	9	6	224	134	78
MANBAL	50	9	8	55	64	38
MANEA	35	5	17	76	56	57
MANEAL	0	0	0	1	0	0
MANF	342	49	110	421	320	314
MANSC1	0	0	0	0	0	0
MANSC4	0	0	0	0	0	1
MAOA	107	30	91	210	167	151
MAOB	0	0	0	1	1	0
MAP10	0	0	0	0	0	0
MAP1A	77	17	35	51	48	47
MAP1B	281	35	104	397	497	463
MAP1LC3A	68	52	72	162	90	90
MAP1LC3B	230	17	23	555	307	209
MAP1S	160	32	50	269	227	166
MAP2	36	2	10	30	18	14
MAP2K1	444	174	479	537	404	308
MAP2K2	230	45	71	376	239	183
MAP2K3	460	70	183	425	300	274
MAP2K4	104	20	53	132	120	109
MAP2K5	64	18	14	117	86	52
MAP2K6	0	0	0	0	0	0
MAP2K7	100	31	33	199	175	133
MAP3K1	62	7	23	142	96	83
MAP3K10	74	15	28	172	137	94
MAP3K11	122	24	59	186	108	109
MAP3K12	59	18	33	92	36	43
MAP3K13	5	0	1	21	12	9
MAP3K14	95	11	13	90	72	64
MAP3K15	0	0	0	1	0	0
MAP3K19	2	0	0	1	0	1
MAP3K2	122	16	38	208	189	132
MAP3K3	142	30	83	306	196	174
MAP3K4	211	29	44	265	159	127
MAP3K5	113	15	33	390	143	96
MAP3K6	43	4	9	71	48	36
MAP3K7	110	19	38	200	152	127
MAP3K7CL	0	0	0	0	0	0
MAP3K8	6	2	1	28	15	5
MAP3K9	32	8	5	57	35	46
MAP4	659	179	351	1214	852	697
MAP4K1	13	4	7	14	5	13
MAP4K2	59	6	20	119	69	55
MAP4K3	90	10	29	248	151	119
MAP4K4	1260	198	423	2435	1223	973
MAP4K5	158	14	45	250	194	156
MAP6	36	30	44	48	37	31
MAP6D1	1	0	0	0	2	0
MAP7	1	0	2	33	9	6
MAP7D1	584	93	209	616	356	398
MAP7D2	0	0	0	0	0	0
MAP9	4	2	4	1	0	3
MAPK1	438	54	152	651	538	437
MAPK10	1	1	0	0	0	0
MAPK11	50	4	9	43	27	13
MAPK12	105	29	48	170	123	86
MAPK13	69	5	11	72	44	39
MAPK14	180	19	60	241	186	136
MAPK15	0	0	0	6	3	7
MAPK1IP1L	412	30	59	575	443	338
MAPK3	411	73	123	637	379	309
MAPK4	0	0	0	0	0	0
MAPK6	578	129	341	969	672	560
MAPK7	130	44	70	239	186	150
MAPK8	76	20	50	97	72	75
MAPK8IP1	70	6	14	105	57	41
MAPK8IP2	0	0	0	2	0	0
MAPK8IP3	253	95	142	912	691	557
MAPK9	142	45	97	205	136	90
MAPKAP1	108	31	63	176	148	86
MAPKAPK2	265	73	92	519	277	286
MAPKAPK3	57	15	16	112	73	58
MAPKAPK5	44	18	36	93	88	89
MAPKBP1	57	9	26	129	79	74
MAPRE1	379	61	107	428	321	267
MAPRE2	99	9	15	126	99	104
MAPRE3	49	13	20	112	73	41
MAPT	2	0	3	10	8	5
MARCKS	91	16	48	126	92	90
MARCKSL1	91	39	35	165	134	77
MARCO	0	0	0	0	0	0
MARK1	1	0	0	1	0	0
MARK2	202	38	110	322	268	214
MARK3	240	46	106	297	282	254
MARK4	116	23	70	219	135	109
MARS	394	108	162	481	493	395
MARS2	14	4	5	36	37	36
MARVELD1	98	21	32	302	202	142
MARVELD2	5	0	1	23	18	13
MARVELD3	3	0	0	17	10	2
MAS1	0	1	0	0	0	0
MASP1	34	8	11	242	137	161
MASP2	0	4	3	29	27	3
MAST1	1	0	3	3	8	6
MAST2	182	48	101	242	234	206
MAST3	263	34	45	342	205	139
MAST4	191	24	106	409	210	187
MASTL	157	10	27	103	101	79
MAT1A	0	0	0	0	0	0
MAT2A	169	113	187	785	774	748
MAT2B	175	15	42	259	195	173
MATK	0	0	0	8	9	4
MATN1	0	0	0	0	0	0
MATN2	100	6	10	157	80	63
MATN3	0	0	0	1	1	2
MATN4	0	0	0	3	0	1
MATR3	576	135	237	813	698	587
MAU2	180	48	65	438	266	206
MAVS	109	15	15	204	138	93
MAX	137	81	133	221	187	254
MAZ	373	129	254	510	473	356
MB	0	0	0	0	0	0
MB21D1	16	1	5	22	36	30
MB21D2	1	3	7	3	3	4
MBD1	46	5	12	80	50	52
MBD2	133	33	111	180	141	147
MBD3	251	50	88	271	233	187
MBD3L1	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0
MBD4	21	2	3	28	18	10
MBD5	24	13	28	75	44	35
MBD6	152	71	163	303	256	264
MBIP	40	8	22	67	37	32
MBL2	0	0	0	0	0	0
MBLAC1	3	3	5	9	1	3
MBLAC2	16	3	8	22	16	14
MBNL1	383	146	345	902	795	802
MBNL2	311	27	95	666	570	513
MBNL3	16	1	1	16	19	15
MBOAT1	42	30	33	16	26	26
MBOAT2	13	5	16	5	1	1
MBOAT4	2	0	0	0	0	0
MBOAT7	135	47	52	198	94	100
MBP	47	7	3	83	74	45
MBTD1	68	9	29	157	117	98
MBTPS1	556	126	223	692	496	377
MBTPS2	94	13	35	162	151	105
MC1R	1	0	0	0	0	0
MC2R	0	0	0	0	0	0
MC3R	0	0	0	0	0	0
MC4R	0	0	0	0	0	0
MC5R	0	0	0	0	0	1
MCAM	38	13	9	108	69	81
MCAT	23	9	6	33	28	20
MCC	12	1	5	17	22	28
MCCC1	35	4	11	62	45	28
MCCC2	22	7	7	64	36	19
MCEE	13	1	2	27	12	6
MCEMP1	0	0	0	0	0	0
MCF2	0	0	0	0	0	0
MCF2L	4	0	2	5	4	5
MCFD2	97	11	19	242	148	135
MCHR1	0	0	0	0	0	0
MCIDAS	2	0	0	0	0	0
MCL1	307	43	121	498	304	219
MCM10	150	9	26	59	127	93
MCM2	411	44	74	251	385	262
MCM3	640	42	93	293	439	389
MCM3AP	172	18	21	291	173	146
MCM4	410	53	93	254	318	282
MCM5	558	59	75	183	354	240
MCM6	856	56	80	321	452	334
MCM7	649	52	96	323	501	324
MCM8	51	3	10	42	48	31
MCM9	27	2	4	24	24	17
MCMBP	162	11	22	170	131	113
MCMDC2	0	0	0	0	0	0
MCOLN1	115	32	76	198	164	158
MCOLN2	0	0	0	1	0	0
MCOLN3	0	1	1	1	5	11
MCPH1	72	7	6	66	46	37
MCRS1	146	22	43	181	77	56
MCTP1	7	2	4	9	15	10
MCTP2	0	0	1	1	0	0
MCTS1	43	22	38	67	50	60
MCU	89	27	44	85	83	75
MCUR1	18	2	8	50	41	30
MDC1	231	13	33	205	138	110
MDFI	2	0	0	2	0	0
MDFIC	47	15	3	117	107	66
MDGA1	16	1	12	30	25	27
MDGA2	0	0	0	0	0	0
MDH1	498	77	174	605	481	424
MDH1B	0	0	0	0	0	0
MDH2	776	99	186	793	713	611
MDK	0	0	0	1	0	0
MDM1	68	8	19	72	37	25
MDM2	137	36	105	333	280	253
MDM4	317	32	31	657	433	260
MDN1	110	26	51	316	401	321
MDP1	68	10	6	81	68	58
ME1	94	22	33	154	113	101
ME2	87	5	33	70	49	45
ME3	3	1	0	5	2	4
MEA1	166	66	133	229	213	181
MEAF6	37	9	20	81	65	50
MECOM	93	33	116	49	57	50
MECP2	107	24	61	270	173	141
MECR	56	6	10	65	80	53
MED1	198	43	96	297	246	243
MED10	67	10	17	75	71	55
MED11	36	1	4	37	28	11
MED12	195	47	93	405	246	185
MED12L	1	0	0	0	0	0
MED13	331	46	166	620	403	328
MED13L	261	41	121	671	348	316
MED14	87	20	77	148	116	105
MED15	320	53	139	420	320	240
MED16	88	16	26	94	64	72
MED17	70	13	16	158	109	97
MED18	12	6	20	16	15	19
MED19	49	10	16	89	103	71
MED20	67	10	23	116	119	98
MED21	60	17	24	86	87	77
MED22	79	8	20	144	116	112
MED23	64	10	28	133	113	104
MED24	577	237	406	604	278	216
MED25	185	31	50	314	194	152
MED26	52	4	14	79	68	46
MED27	20	9	14	48	57	67
MED28	124	18	25	152	95	96
MED29	48	7	7	64	53	42
MED30	61	12	39	60	58	52
MED31	31	0	6	43	30	31
MED4	62	11	15	102	69	54
MED6	55	12	20	78	73	58
MED7	43	10	15	72	47	36
MED8	56	17	25	86	75	62
MED9	74	5	6	69	78	52
MEDAG	6	6	8	1	0	2
MEF2A	203	49	124	330	263	289
MEF2B	6	2	0	23	12	0
MEF2C	29	8	44	60	63	85
MEF2D	243	36	116	432	348	347
MEFV	0	0	0	1	0	0
MEGF10	2	6	13	2	2	5
MEGF11	1	0	2	4	2	1
MEGF6	227	9	8	327	79	59
MEGF8	448	46	103	761	404	275
MEGF9	7	1	4	14	9	8
MEI1	0	0	0	0	0	0
MEI4	0	0	0	0	0	0
MEIG1	0	0	0	0	0	0
MEIKIN	0	0	0	0	0	0
MEIOB	0	0	0	3	0	1
MEIOC	1	0	0	0	0	2
MEIS1	46	20	42	82	53	55
MEIS2	36	7	23	67	48	38
MEIS3	26	4	4	45	23	24
MELK	138	11	23	39	55	31
MEMO1	145	55	78	161	135	112
MEN1	200	35	74	265	187	140
MEOX1	0	0	0	0	0	0
MEOX2	9	12	7	19	13	10
MEP1A	0	0	0	0	0	0
MEP1B	0	0	0	0	0	0
MEPCE	96	45	85	176	148	121
MEPE	0	0	0	0	0	0
MERTK	8	1	0	7	3	4
MESDC1	65	19	64	60	37	42
MESDC2	189	47	88	272	211	169
MESP1	0	0	0	0	0	0
MESP2	0	0	1	1	0	0
MEST	30	4	9	24	13	23
MET	241	25	35	257	190	155
METAP1	165	33	43	187	136	114
METAP1D	55	11	16	114	117	88
METAP2	465	62	135	551	437	370
METRN	49	2	9	44	39	31
METRNL	53	15	23	64	34	24
METTL1	32	2	5	25	60	25
METTL10	23	4	7	27	21	15
METTL11B	0	0	0	0	0	0
METTL13	54	4	5	83	90	85
METTL14	59	10	7	52	57	48
METTL15	6	0	2	12	6	7
METTL16	80	9	12	92	114	72
METTL17	14	9	4	54	46	47
METTL18	15	0	0	16	7	7
METTL21A	26	2	3	43	25	27
METTL21B	3	0	0	3	2	4
METTL21C	2	0	0	0	0	0
METTL22	17	7	8	23	36	24
METTL23	18	2	3	51	22	13
METTL24	0	0	0	2	0	0
METTL25	7	4	3	16	14	5
METTL26	97	10	14	84	69	46
METTL3	55	17	17	70	57	59
METTL4	15	4	1	26	16	6
METTL5	26	4	5	39	35	21
METTL6	40	4	8	79	78	59
METTL7B	5	0	3	9	1	0
METTL8	32	2	6	25	17	19
METTL9	167	58	165	140	153	166
MEX3A	52	14	16	149	125	127
MEX3B	11	7	14	30	29	34
MEX3C	163	40	117	179	160	131
MEX3D	135	22	62	290	230	185
MFAP2	0	0	0	0	0	0
MFAP3	62	8	13	131	103	82
MFAP3L	2	0	1	7	6	5
MFAP4	0	0	0	0	0	0
MFAP5	0	0	0	0	0	0
MFF	202	60	101	289	243	209
MFGE8	867	294	566	1439	785	767
MFHAS1	88	18	19	74	39	47
MFN1	92	33	69	203	158	132
MFN2	124	16	47	246	174	107
MFNG	0	0	0	0	0	0
MFRP	0	0	0	1	1	2
MFSD1	109	14	34	251	200	156
MFSD10	148	33	49	262	186	149
MFSD11	51	12	19	127	100	74
MFSD12	47	7	3	97	56	58
MFSD13A	34	13	10	9	9	16
MFSD14A	97	37	89	214	164	149
MFSD14B	111	19	49	168	124	116
MFSD2A	10	0	0	2	14	10
MFSD2B	4	0	0	6	13	7
MFSD3	22	15	16	23	27	21
MFSD4A	51	3	6	91	69	45
MFSD5	81	18	38	132	97	98
MFSD6	41	9	21	205	150	104
MFSD6L	0	0	0	0	0	0
MFSD8	15	1	12	22	21	18
MFSD9	6	0	1	15	10	7
MGA	77	7	27	235	181	154
MGAM	0	0	0	1	1	0
MGARP	7	3	4	3	8	2
MGAT1	121	23	52	285	197	164
MGAT2	153	39	96	223	151	177
MGAT3	20	8	21	12	5	3
MGAT4A	24	4	5	40	21	17
MGAT4B	728	148	183	886	789	569
MGAT4C	0	0	0	0	0	0
MGAT4D	0	0	0	0	0	0
MGAT5	178	19	48	215	113	92
MGAT5B	0	0	0	0	0	0
MGEA5	380	32	86	463	333	261
MGLL	2	2	1	2	2	1
MGME1	36	2	0	28	34	29
MGMT	0	0	0	0	0	0
MGP	144	24	18	740	226	237
MGRN1	172	26	43	357	184	143
MGST1	38	11	13	275	107	87
MGST2	110	100	140	227	123	130
MGST3	71	10	9	76	53	34
MIA	0	0	0	0	0	0
MIA2	94	17	33	176	180	139
MIA3	190	42	74	389	242	233
MIB1	191	23	99	420	265	244
MIB2	96	38	57	430	203	163
MICAL1	4	0	10	0	0	2
MICAL2	62	12	30	167	35	23
MICAL3	53	10	34	104	72	87
MICALCL	0	0	0	1	0	0
MICALL1	360	27	49	650	316	245
MICALL2	193	18	17	234	100	69
MICU1	203	60	97	257	210	159
MICU2	142	7	22	167	118	94
MICU3	12	2	9	20	17	19
MID1	5	2	1	23	24	17
MID1IP1	116	52	68	279	242	265
MID2	17	11	15	11	17	16
MIDN	267	27	48	415	282	220
MIEF1	73	12	28	95	79	61
MIEF2	13	5	6	29	20	16
MIEN1	66	23	39	70	61	49
MIER1	81	12	41	128	82	82
MIER2	126	29	62	212	126	114
MIER3	22	8	13	97	81	56
MIF	1918	293	680	1685	1453	937
MIF4GD	48	13	12	100	73	49
MIGA1	63	4	9	138	85	50
MIGA2	29	9	17	69	52	42
MIIP	139	12	16	117	84	53
MILR1	0	0	0	0	1	0
MINA	25	3	0	42	37	31
MINK1	311	78	141	474	262	227
MINOS1	123	20	29	119	91	114
MINPP1	105	11	32	156	94	66
MIOS	30	9	22	34	31	23
MIOX	0	0	0	0	0	0
MIP	0	0	0	0	0	0
MIPEP	43	3	9	56	41	30
MIPOL1	49	10	21	53	57	33
MIS12	71	5	19	65	90	61
MIS18A	48	4	7	35	40	38
MIS18BP1	110	5	12	43	45	34
MISP	53	6	6	167	85	47
MITD1	56	5	16	108	95	72
MITF	14	1	6	42	35	27
MIXL1	0	0	0	0	0	0
MKI67	1306	64	168	331	459	374
MKKS	50	14	25	53	60	49
MKL1	167	36	101	237	196	148
MKL2	72	13	41	153	121	99
MKLN1	148	35	85	287	209	165
MKNK1	47	10	11	92	62	45
MKNK2	353	46	82	362	183	152
MKRN1	111	27	58	184	134	107
MKRN2	79	12	18	166	92	84
MKRN2OS	0	0	0	1	2	1
MKRN3	6	3	7	1	2	4
MKS1	2	2	2	5	5	5
MKX	29	4	5	24	18	28
MLANA	0	0	0	0	0	0
MLC1	0	0	0	0	0	0
MLEC	669	91	135	823	561	420
MLF1	1	0	2	2	8	4
MLF2	399	111	223	489	373	343
MLH1	68	14	7	55	60	40
MLH3	47	7	8	64	49	25
MLIP	0	0	0	0	0	0
MLKL	93	4	15	122	104	70
MLLT1	213	38	66	292	239	165
MLLT10	105	15	33	272	224	158
MLLT11	15	6	16	39	41	32
MLLT3	91	13	21	128	67	69
MLLT6	220	18	58	506	320	196
MLPH	0	0	0	0	0	0
MLST8	27	7	16	72	29	42
MLX	120	43	79	141	105	107
MLXIP	75	15	24	197	123	118
MLXIPL	0	0	0	2	0	0
MLYCD	17	3	11	39	26	22
MMAA	18	5	5	11	7	4
MMAB	53	5	4	56	27	21
MMACHC	31	3	3	31	20	12
MMADHC	133	19	32	213	146	116
MMD	260	49	144	118	44	42
MMD2	0	0	0	0	0	0
MME	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0
MMGT1	45	7	30	102	75	69
MMP10	35	40	46	20	3	6
MMP11	125	14	20	142	53	40
MMP12	0	0	0	0	1	0
MMP13	122	168	222	35	22	18
MMP14	371	91	173	836	508	385
MMP15	2	0	0	4	3	3
MMP16	5	2	15	6	8	20
MMP17	1	0	0	0	0	0
MMP19	19	10	19	87	50	31
MMP2	0	0	0	0	0	1
MMP20	0	0	0	0	0	0
MMP21	0	0	0	0	1	0
MMP24	0	0	0	1	1	0
MMP25	0	0	0	0	0	0
MMP27	0	0	0	0	0	0
MMP28	2	3	8	28	31	21
MMP3	1417	79	91	293	84	62
MMP7	0	0	0	0	0	0
MMP8	0	0	0	0	0	0
MMP9	778	94	44	192	124	83
MMRN1	0	0	0	0	0	0
MMRN2	14	8	30	24	11	4
MMS19	200	22	34	303	234	130
MMS22L	75	9	22	47	58	37
MN1	0	0	0	0	0	0
MNAT1	115	37	55	126	81	118
MND1	25	4	0	11	10	7
MNS1	22	4	1	35	17	15
MNT	151	22	68	436	303	268
MNX1	0	0	0	0	0	0
MOAP1	12	5	13	4	14	11
MOB1A	304	48	70	569	500	359
MOB1B	68	6	33	123	102	90
MOB2	53	29	39	92	93	92
MOB3A	43	3	7	75	44	40
MOB3B	11	0	2	22	17	9
MOB3C	16	2	5	24	25	12
MOB4	142	35	96	206	189	153
MOBP	0	0	0	0	1	1
MOCOS	17	3	7	60	21	16
MOCS1	38	10	5	145	106	60
MOCS2	39	7	15	79	68	53
MOCS3	8	1	2	10	6	4
MOG	2	2	2	0	1	1
MOGAT1	0	0	0	0	0	0
MOGAT2	0	1	0	0	0	0
MOGS	166	40	49	210	159	137
MOK	24	4	3	21	12	12
MON1A	28	31	23	60	47	62
MON1B	41	10	16	76	45	42
MON2	210	47	128	399	231	218
MORC1	0	0	0	0	0	0
MORC3	74	6	25	112	101	68
MORC4	59	34	70	93	66	67
MORF4L1	572	84	125	1015	643	534
MORF4L2	640	297	540	687	581	711
MORN1	5	0	1	17	4	7
MORN2	4	3	3	4	3	3
MORN3	0	0	0	1	2	0
MORN4	0	0	1	3	0	0
MORN5	0	0	0	0	0	0
MOS	0	0	0	0	0	0
MOSPD1	20	6	16	36	25	28
MOSPD2	38	10	34	100	50	62
MOSPD3	86	21	39	77	52	43
MOV10	165	26	21	317	202	122
MOV10L1	0	0	0	0	0	0
MOXD1	0	0	0	0	0	0
MPC1	36	2	15	56	55	51
MPC2	52	15	30	75	63	63
MPDU1	55	13	16	80	87	53
MPDZ	72	18	21	183	139	98
MPEG1	5	2	4	2	5	1
MPG	49	7	5	47	37	17
MPHOSPH10	32	4	8	99	109	70
MPHOSPH6	46	4	5	48	36	16
MPHOSPH8	95	12	22	136	128	104
MPHOSPH9	21	3	9	14	20	18
MPI	34	16	17	71	36	29
MPL	0	0	0	0	0	0
MPLKIP	47	8	15	49	28	35
MPND	222	34	105	234	146	70
MPO	0	0	0	0	0	0
MPP1	87	11	5	199	108	63
MPP2	47	3	12	68	42	25
MPP3	13	1	2	2	3	4
MPP4	0	0	0	1	0	1
MPP5	72	9	21	148	131	90
MPP6	92	13	24	106	108	90
MPP7	3	0	1	2	8	1
MPPE1	26	3	8	39	14	10
MPPED1	0	0	0	0	0	0
MPPED2	0	0	0	0	1	0
MPRIP	1071	196	370	1395	872	713
MPST	88	8	13	117	74	32
MPV17	132	17	20	240	142	108
MPV17L	3	0	0	6	1	1
MPV17L2	34	13	16	56	63	55
MPZ	0	0	0	0	1	0
MPZL1	275	56	73	531	366	246
MPZL2	13	0	0	3	1	2
MPZL3	8	0	4	22	15	18
MR1	63	9	8	204	95	63
MRAP	0	0	0	0	0	0
MRAP2	0	0	0	0	0	0
MRAS	26	11	13	76	51	55
MRC1	1	0	0	0	0	0
MRC2	39	32	71	28	18	14
MREG	5	3	1	29	18	16
MRFAP1	641	150	281	770	651	558
MRGBP	66	46	75	106	99	84
MRGPRD	0	0	0	0	0	0
MRGPRE	14	2	0	21	11	7
MRGPRF	0	0	0	1	0	0
MRGPRG	0	0	0	0	0	0
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	0
MRI1	71	6	13	85	62	62
MRLN	0	0	0	0	0	0
MRM1	23	1	8	48	43	26
MRM2	7	2	0	18	14	11
MRO	0	0	0	0	0	0
MROH1	228	53	55	831	414	282
MROH2A	20	4	11	35	24	23
MROH2B	0	0	0	0	0	0
MROH6	0	0	0	1	0	1
MROH7	0	0	0	0	0	0
MROH8	2	0	2	0	1	0
MROH9	0	0	0	1	0	0
MRPL1	26	6	12	55	48	54
MRPL10	165	20	20	191	159	105
MRPL11	66	4	9	50	58	43
MRPL12	263	28	38	265	269	224
MRPL13	290	38	64	291	245	197
MRPL14	92	17	28	149	79	66
MRPL15	114	24	36	176	142	103
MRPL16	33	3	5	34	29	24
MRPL17	99	27	40	120	83	62
MRPL18	108	9	17	93	82	72
MRPL19	50	5	7	86	57	42
MRPL2	185	17	20	257	210	163
MRPL20	61	13	26	86	70	52
MRPL21	51	7	15	63	58	52
MRPL22	53	17	20	73	66	70
MRPL23	8	0	0	13	3	3
MRPL24	146	27	37	207	105	105
MRPL27	62	13	12	95	79	82
MRPL28	182	37	46	197	158	109
MRPL3	68	11	18	89	64	49
MRPL30	144	21	18	232	167	120
MRPL32	39	6	12	46	30	40
MRPL33	104	18	44	197	169	125
MRPL34	37	5	12	81	46	38
MRPL35	48	7	14	63	52	42
MRPL36	31	1	7	54	56	30
MRPL37	103	13	23	119	92	81
MRPL38	280	25	35	342	269	196
MRPL39	68	2	10	68	59	42
MRPL4	143	27	23	194	137	103
MRPL40	54	9	14	52	62	32
MRPL41	37	19	39	58	53	43
MRPL42	97	6	14	84	73	63
MRPL43	121	18	37	170	104	101
MRPL44	50	7	9	105	64	43
MRPL45	165	9	18	144	115	102
MRPL46	38	3	13	30	37	19
MRPL47	41	0	14	57	41	36
MRPL48	36	2	7	51	29	25
MRPL49	58	11	9	83	85	75
MRPL50	54	5	12	88	67	66
MRPL51	67	8	12	77	75	49
MRPL52	116	11	22	129	84	88
MRPL53	81	16	41	98	73	61
MRPL54	57	7	10	55	52	36
MRPL55	51	4	7	59	49	57
MRPL57	58	7	14	80	62	41
MRPL58	70	13	9	94	73	45
MRPL9	107	16	21	163	148	113
MRPS10	106	10	7	132	120	92
MRPS11	35	4	16	45	53	24
MRPS12	32	14	19	50	29	35
MRPS14	124	14	20	134	131	113
MRPS15	82	17	10	115	88	67
MRPS16	87	15	26	90	79	65
MRPS17	91	11	19	152	165	114
MRPS18A	95	9	8	108	86	64
MRPS18B	80	11	14	147	142	89
MRPS18C	32	6	5	37	26	34
MRPS2	53	9	22	101	80	58
MRPS21	82	25	43	101	75	71
MRPS22	44	13	26	47	44	54
MRPS23	71	9	20	108	73	66
MRPS24	95	13	29	98	82	69
MRPS25	74	16	27	67	51	66
MRPS26	117	15	16	130	109	94
MRPS27	75	6	9	72	62	54
MRPS28	48	2	4	45	32	29
MRPS30	47	10	21	92	84	67
MRPS31	34	2	4	49	56	40
MRPS33	35	6	5	63	31	28
MRPS34	115	38	25	149	101	91
MRPS35	51	8	7	68	60	44
MRPS36	46	2	7	60	48	29
MRPS5	117	10	14	151	136	114
MRPS6	126	34	46	258	195	128
MRPS7	112	16	29	146	127	100
MRPS9	163	17	22	187	157	112
MRRF	47	7	9	66	49	33
MRS2	18	5	2	29	36	26
MRTO4	97	5	12	127	121	110
MRVI1	0	0	0	0	0	0
MS4A1	0	0	0	0	0	0
MS4A10	0	0	0	0	0	0
MS4A12	1	0	0	0	0	0
MS4A13	0	0	0	0	0	0
MS4A14	0	0	0	0	0	0
MS4A15	0	0	0	0	0	0
MS4A18	0	0	0	0	0	0
MS4A2	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0
MS4A4A	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0
MS4A7	0	0	0	0	0	0
MSANTD1	0	1	0	0	1	0
MSANTD2	98	33	33	177	144	115
MSANTD3	45	2	8	39	35	18
MSANTD4	70	8	13	149	101	83
MSC	0	0	0	0	0	0
MSGN1	0	1	0	1	0	0
MSH2	185	15	19	143	126	79
MSH3	28	1	9	40	29	16
MSH4	0	0	0	0	1	0
MSH5	16	3	5	10	2	3
MSH6	251	18	22	198	180	109
MSI1	2	2	2	10	7	2
MSI2	100	33	69	267	206	182
