X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
ATG9A	214	49	102	400	247	209
ATG9B	35	73	65	20	13	11
ATIC	474	40	102	617	640	415
ATL1	8	0	0	8	3	5
ATL2	169	39	103	206	195	188
ATL3	176	18	57	305	219	171
ATM	61	8	8	118	122	89
ATMIN	44	9	11	89	45	41
ATN1	253	33	39	476	322	214
ATOH1	0	0	0	0	0	0
ATOH7	0	0	0	0	0	0
ATOH8	14	2	3	6	10	24
ATOX1	115	18	17	144	75	89
ATP10A	61	5	13	44	57	31
ATP10B	0	0	0	0	0	0
ATP11A	221	37	159	626	301	225
ATP11B	168	26	98	283	266	158
ATP11C	26	4	18	77	58	57
ATP12A	0	0	0	0	0	0
ATP13A1	146	66	125	308	279	256
ATP13A2	53	11	20	129	46	48
ATP13A3	248	22	68	585	404	383
ATP13A4	7	16	11	12	6	13
ATP13A5	0	0	0	0	0	0
ATP1A1	1779	352	544	3007	1829	1744
ATP1A2	0	0	1	0	0	0
ATP1A3	1	0	0	0	0	0
ATP1A4	0	0	0	1	0	0
ATP1B1	103	24	13	537	418	391
ATP1B2	2	1	1	4	0	2
ATP1B3	206	42	93	411	339	271
ATP1B4	0	0	0	0	1	0
ATP2A1	0	1	2	0	0	5
ATP2A2	759	221	498	1461	1277	1182
ATP2A3	1	0	0	4	5	3
ATP2B1	664	329	776	888	739	718
ATP2B2	0	0	0	0	0	0
ATP2B3	0	0	0	0	0	0
ATP2B4	0	1	0	1	0	0
ATP2C1	82	28	79	195	107	92
ATP2C2	117	10	34	296	104	76
ATP4A	0	0	0	0	0	0
ATP4B	0	0	0	0	0	0
ATP5A1	1827	186	361	1785	1510	1166
ATP5B	4459	559	1046	3861	3726	2969
ATP5C1	782	79	89	903	709	558
ATP5D	540	31	56	623	534	347
ATP5E	309	41	114	266	261	198
ATP5F1	355	18	57	443	386	260
ATP5G1	135	43	81	151	190	196
ATP5G2	0	0	1	46	47	0
ATP5G3	676	136	300	624	450	492
ATP5H	312	23	18	350	329	227
ATP5J	265	27	67	240	226	218
ATP5J2	255	37	70	254	169	126
ATP5L	130	18	28	142	94	70
ATP5O	366	29	43	324	304	259
ATP5S	16	1	4	29	24	16
ATP5SL	46	7	2	80	65	41
ATP6AP1	304	242	534	911	632	641
ATP6AP1L	0	0	0	0	0	0
ATP6AP2	83	24	41	288	226	209
ATP6V0A1	182	53	92	355	240	324
ATP6V0A2	48	12	27	133	114	94
ATP6V0A4	0	0	0	1	0	1
ATP6V0B	118	52	63	336	225	231
ATP6V0C	495	207	405	887	725	701
ATP6V0D1	108	55	81	201	139	172
ATP6V0D2	0	0	0	0	1	3
ATP6V0E2	15	14	13	19	14	24
ATP6V1A	248	47	79	385	260	253
ATP6V1B1	0	0	0	0	0	0
ATP6V1B2	122	31	45	258	220	194
ATP6V1C1	256	81	165	362	308	323
ATP6V1C2	3	0	5	3	2	1
ATP6V1D	139	69	139	211	248	243
ATP6V1E1	106	37	54	223	162	155
ATP6V1E2	0	0	0	0	0	0
ATP6V1F	143	79	131	247	253	229
ATP6V1G1	276	82	128	443	492	480
ATP6V1G2	1	1	0	4	2	0
ATP6V1G3	0	0	0	0	0	0
ATP6V1H	88	28	49	220	209	196
ATP7A	33	6	30	79	42	52
ATP7B	0	0	1	1	1	0
ATP8A1	8	8	3	11	19	16
ATP8A2	0	0	0	0	0	0
ATP8B1	0	0	0	0	0	0
ATP8B2	307	57	147	637	332	261
ATP8B3	0	0	0	0	1	0
ATP8B4	0	0	0	5	2	0
ATP9A	189	37	40	331	176	156
ATP9B	88	26	56	151	124	104
ATPAF1	25	1	3	74	49	39
ATPAF2	87	11	17	83	54	64
ATPIF1	221	19	23	295	295	198
ATR	55	17	20	98	107	58
ATRAID	49	12	19	136	70	73
ATRIP	49	3	7	71	31	43
ATRN	133	42	75	249	215	190
ATRNL1	97	11	23	221	166	122
ATRX	205	22	51	494	332	252
ATXN1	34	6	25	89	85	54
ATXN10	269	71	95	331	247	226
ATXN1L	122	19	51	214	166	126
ATXN2	230	68	147	480	391	340
ATXN2L	844	356	635	1643	1549	1237
ATXN3	70	7	8	123	109	72
ATXN7	26	8	11	87	77	64
ATXN7L1	68	4	21	94	71	66
ATXN7L2	17	4	10	31	20	19
ATXN7L3	156	57	118	346	286	225
ATXN7L3B	157	60	108	288	232	237
AUH	67	4	16	131	67	62
AUNIP	21	1	3	13	14	13
AUP1	286	110	156	437	291	257
AURKA	286	20	39	87	96	71
AURKAIP1	126	22	13	139	107	74
AURKB	430	26	40	129	160	132
AURKC	0	2	0	0	0	0
AUTS2	0	0	0	0	1	0
AVEN	9	2	5	4	2	12
AVIL	0	0	1	1	6	4
AVL9	41	8	21	145	93	89
AVP	0	0	0	0	0	0
AVPI1	99	22	17	91	116	102
AVPR1A	0	0	0	0	0	0
AVPR1B	0	0	0	0	0	0
AVPR2	0	3	2	3	0	3
AWAT1	0	0	0	0	0	0
AWAT2	3	0	0	0	6	2
AXDND1	1	0	0	1	0	1
AXIN1	246	73	118	406	306	233
AXIN2	10	5	30	15	11	7
AXL	2393	226	401	3386	1746	1171
AZGP1	0	0	0	0	0	0
AZI2	108	9	22	233	149	99
AZIN1	454	117	249	627	618	711
AZIN2	82	7	11	126	54	36
B2M	1710	161	133	4080	3467	2495
B3GALNT1	10	14	19	6	5	9
B3GALNT2	47	10	15	148	115	64
B3GALT1	0	0	0	0	0	0
B3GALT2	0	0	0	0	0	1
B3GALT4	10	0	1	5	6	5
B3GALT5	0	0	0	0	0	0
B3GALT6	8	1	0	13	5	6
B3GAT1	0	0	0	0	0	0
B3GAT2	2	0	2	6	1	2
B3GAT3	112	30	47	164	121	103
B3GLCT	52	1	18	58	36	46
B3GNT2	206	4	5	233	148	138
B3GNT3	181	4	19	163	85	53
B3GNT4	0	0	0	2	0	2
B3GNT5	1	0	9	1	0	1
B3GNT6	0	0	0	0	1	1
B3GNT7	0	0	1	5	6	3
B3GNT8	0	0	0	3	1	0
B3GNT9	1	0	1	6	3	2
B3GNTL1	15	1	1	42	22	16
B4GALNT1	155	30	40	332	164	95
B4GALNT2	0	0	0	0	0	1
B4GALNT3	7	0	1	0	1	1
B4GALNT4	47	6	6	93	79	39
B4GALT1	197	32	61	379	280	224
B4GALT2	109	24	34	144	98	85
B4GALT3	58	19	25	147	133	100
B4GALT4	2	0	0	13	6	5
B4GALT5	337	20	45	644	411	380
B4GALT6	10	0	5	18	7	8
B4GALT7	52	13	18	90	70	59
B4GAT1	111	9	26	126	76	55
B9D1	47	5	23	15	22	11
B9D2	28	4	9	41	34	27
BAALC	1	0	1	0	0	1
BAAT	0	0	0	0	1	3
BABAM1	171	11	22	199	148	116
BACE1	93	9	18	221	96	95
BACE2	0	0	0	0	0	0
BACH1	73	11	27	231	134	118
BACH2	0	0	0	14	2	3
BAD	38	17	33	76	63	43
BAG1	152	22	32	213	191	139
BAG2	128	9	19	202	157	122
BAG3	192	33	51	392	203	212
BAG4	50	3	3	99	78	59
BAG5	98	10	12	185	98	87
BAG6	946	181	344	1588	1097	904
BAHCC1	45	16	44	65	37	37
BAHD1	102	22	38	189	141	122
BAIAP2	477	147	205	750	515	356
BAIAP2L1	55	15	22	81	66	45
BAIAP2L2	4	0	0	0	1	0
BAIAP3	0	0	0	0	1	0
BAK1	140	10	20	137	125	101
BAMBI	0	0	0	0	0	0
BANF1	364	43	55	224	342	247
BANF2	0	0	0	0	0	0
BANK1	0	0	0	0	0	0
BANP	81	22	30	122	145	108
BAP1	231	66	140	341	258	251
BARD1	109	6	17	68	86	56
BARHL1	0	0	0	0	0	1
BARHL2	0	0	0	0	0	0
BARX1	0	0	0	0	0	0
BARX2	0	0	0	0	0	0
BASP1	365	27	36	459	297	177
BATF	0	0	0	0	0	0
BATF2	0	0	0	3	4	0
BATF3	4	2	4	3	7	9
BAX	178	40	115	210	230	201
BAZ1A	157	24	38	243	234	195
BAZ1B	437	74	158	641	594	514
BAZ2A	274	57	138	675	436	352
BAZ2B	61	27	42	168	164	144
BBC3	39	15	15	80	66	50
BBIP1	18	1	3	29	14	17
BBOF1	3	2	0	11	8	3
BBOX1	0	0	0	0	0	0
BBS1	25	3	11	37	23	23
BBS10	11	2	12	15	10	9
BBS12	19	9	25	41	21	15
BBS2	32	10	20	54	27	26
BBS4	20	2	5	19	16	17
BBS5	15	3	0	15	18	16
BBS7	23	8	17	28	34	17
BBS9	42	4	10	70	41	36
BBX	165	24	86	437	258	245
BCAM	43	9	2	88	59	66
BCAN	0	0	0	0	0	0
BCAP29	50	6	11	73	84	55
BCAP31	171	47	120	342	244	223
BCAR1	343	97	170	334	298	286
BCAR3	123	14	29	111	66	45
BCAS1	1	0	0	0	0	0
BCAS2	142	15	19	218	179	128
BCAS3	30	10	20	120	74	53
BCAT1	11	6	17	9	25	42
BCAT2	73	8	14	119	81	37
BCCIP	45	6	10	98	73	62
BCDIN3D	2	3	2	6	11	4
BCHE	0	0	0	0	0	0
BCKDHA	74	14	27	241	166	130
BCKDHB	20	9	12	23	20	23
BCKDK	159	38	67	138	103	70
BCL10	77	4	13	99	63	62
BCL11A	10	0	1	15	26	29
BCL11B	0	0	0	0	0	0
BCL2	47	10	13	88	38	30
BCL2L1	285	63	144	308	208	170
BCL2L10	0	0	0	0	0	0
BCL2L11	164	25	48	400	264	199
BCL2L12	30	3	4	34	24	16
BCL2L13	79	11	12	112	90	62
BCL2L14	0	0	0	0	1	0
BCL2L15	0	0	0	1	0	0
BCL2L2	76	17	33	154	110	107
BCL3	37	4	2	283	132	61
BCL6	70	17	42	316	163	169
BCL6B	0	0	0	0	0	0
BCL7A	39	5	4	119	69	64
BCL7B	78	10	26	138	85	86
BCL7C	80	18	18	86	67	48
BCL9	105	21	28	170	84	71
BCL9L	220	36	104	577	320	250
BCLAF1	265	41	74	464	441	385
BCO1	0	0	0	0	0	0
BCO2	2	0	0	0	0	0
BCOR	75	12	60	142	82	72
BCORL1	44	15	44	128	79	58
BCR	299	33	68	551	327	232
BCS1L	38	5	12	52	40	47
BDH1	5	3	5	0	3	2
BDH2	2	0	0	13	9	9
BDKRB1	1	0	0	4	1	0
BDKRB2	13	4	6	22	9	13
BDNF	34	18	34	158	106	147
BDP1	60	6	13	161	150	102
BEAN1	0	2	1	0	0	0
BECN1	255	76	146	424	309	329
BEGAIN	1	0	0	3	1	3
BEND3	42	4	12	75	42	44
BEND4	49	3	9	75	36	23
BEND5	20	2	1	15	6	8
BEND6	23	5	7	23	24	23
BEND7	0	1	0	0	0	0
BEST1	0	0	0	0	1	1
BEST2	0	0	0	0	0	0
BEST3	0	0	0	0	0	0
BET1	64	12	24	79	57	49
BET1L	25	5	12	64	36	21
BEX1	0	0	0	0	0	0
BEX2	0	0	0	0	0	0
BEX3	186	25	63	233	137	129
BEX4	0	0	0	0	0	0
BFAR	61	6	27	85	86	71
BFSP1	0	0	0	0	1	0
BFSP2	1	1	1	0	1	0
BGLAP	1	0	0	0	0	0
BGN	1	2	3	0	0	0
BHLHA15	0	0	0	1	0	1
BHLHA9	0	0	0	1	0	0
BHLHB9	11	14	16	7	7	10
BHLHE22	0	0	0	0	0	0
BHLHE23	0	0	0	0	0	0
BHLHE40	136	70	190	272	114	176
BHLHE41	29	5	14	82	90	74
BHMT	0	0	0	0	0	0
BHMT2	0	0	0	0	0	0
BICC1	13	8	18	6	5	10
BICD1	23	1	25	38	31	35
BICD2	230	52	145	422	305	284
BID	46	7	7	102	98	54
BIK	1	1	0	3	2	1
BIN1	421	55	124	526	330	255
BIN2	5	4	15	2	8	15
BIN3	78	8	18	112	90	64
BIRC2	48	9	11	116	60	45
BIRC3	36	3	4	67	14	19
BIRC5	335	18	51	112	125	71
BIRC6	329	80	217	770	607	577
BIRC7	0	0	0	0	0	0
BIVM	47	7	12	57	46	34
BLCAP	62	20	48	143	84	82
BLK	0	0	0	0	0	0
BLM	57	7	22	44	61	44
BLMH	236	27	71	267	189	143
BLNK	1	0	0	1	0	0
BLOC1S1	172	18	29	134	87	71
BLOC1S2	85	23	29	109	87	85
BLOC1S3	20	2	5	28	12	10
BLOC1S4	30	2	5	49	42	30
BLOC1S5	30	2	2	40	22	14
BLOC1S6	106	13	17	191	149	123
BLVRA	54	7	5	62	57	38
BLVRB	99	35	51	187	116	114
BLZF1	42	2	14	111	73	66
BMF	5	1	1	12	8	3
BMI1	76	16	26	163	110	94
BMP1	839	127	154	779	464	358
BMP10	0	0	0	0	0	0
BMP15	0	0	0	0	0	0
BMP2	43	51	145	25	48	54
BMP2K	38	4	11	53	79	74
BMP3	0	0	0	0	0	0
BMP4	0	0	0	0	0	0
BMP5	1	0	0	3	1	4
BMP6	0	0	0	0	1	0
BMP7	41	8	12	3	7	2
BMP8A	0	0	0	2	3	0
BMP8B	46	23	46	7	7	7
BMPER	0	0	0	1	0	0
BMPR1A	180	18	63	383	220	237
BMPR1B	3	0	1	5	4	3
BMPR2	181	30	75	478	272	273
BMS1	159	20	34	201	185	135
BMT2	38	10	37	41	53	44
BMX	0	0	0	0	0	0
BNC1	19	3	3	25	10	8
BNC2	2	2	2	1	1	0
BNIP1	63	6	11	55	40	28
BNIP2	195	43	124	324	264	251
BNIP3	231	46	198	294	156	96
BNIP3L	598	51	128	785	466	338
BNIPL	0	0	0	0	1	0
BOC	11	3	3	33	35	29
BOD1	94	14	7	177	130	104
BOK	211	19	33	155	140	135
BOLA1	37	6	7	56	41	29
BOLA2	111	67	101	120	107	164
BOLA3	14	5	8	26	28	20
BOLL	0	0	0	0	0	0
BOP1	134	18	29	136	138	124
BORA	113	7	20	68	59	45
BORCS5	6	3	1	11	9	11
BORCS6	34	7	12	85	44	42
BORCS7	9	2	1	9	8	2
BORCS8	47	3	11	73	57	40
BPGM	25	15	19	25	24	24
BPHL	46	4	7	57	31	24
BPI	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0
BPIFB1	0	1	0	2	0	3
BPIFB2	0	0	0	0	0	0
BPIFB3	0	0	1	0	0	0
BPIFB4	2	0	0	0	1	1
BPIFB6	0	0	0	0	0	0
BPIFC	0	0	0	0	0	0
BPNT1	67	12	13	148	133	95
BPTF	335	49	127	654	410	338
BRAF	41	4	22	95	80	59
BRAP	104	20	43	231	160	123
BRAT1	39	14	26	71	50	37
BRCA1	157	9	21	95	108	85
BRCA2	72	3	16	24	26	28
BRCC3	29	1	4	71	46	42
BRD1	188	47	114	304	250	278
BRD2	702	164	247	1501	1187	916
BRD3	172	46	72	358	270	196
BRD4	539	79	211	887	659	567
BRD7	151	69	143	176	162	187
BRD8	214	25	58	229	220	161
BRD9	56	19	31	113	61	62
BRDT	3	1	0	8	5	0
BRE	63	15	33	68	73	50
BRF1	90	27	82	190	103	99
BRF2	17	1	1	34	32	26
BRI3	102	46	45	156	141	131
BRI3BP	153	20	30	214	200	150
BRICD5	2	1	3	0	4	0
BRINP1	0	0	0	0	0	0
BRINP2	0	0	0	0	0	0
BRINP3	8	6	9	26	9	7
BRIP1	73	5	14	33	51	29
BRIX1	162	15	29	191	183	140
BRK1	175	56	81	215	175	164
BRMS1	59	14	43	113	98	68
BRMS1L	60	25	39	131	110	78
BROX	202	20	29	425	275	229
BRPF1	88	41	77	209	163	174
BRPF3	54	6	16	117	98	61
BRS3	0	0	0	0	0	0
BRSK1	47	23	36	88	50	55
BRSK2	0	0	0	0	0	0
BRWD1	74	21	33	264	251	203
BRWD3	29	8	30	58	49	37
BSCL2	27	3	5	47	26	25
BSDC1	64	26	33	216	126	90
BSG	1120	139	275	1139	1000	738
BSN	26	1	2	36	48	28
BSND	0	0	0	0	0	0
BSPH1	0	0	0	0	0	0
BSPRY	6	0	0	8	6	3
BST1	6	0	0	7	5	1
BST2	128	35	22	578	490	342
BSX	0	0	0	0	0	0
BTAF1	50	16	39	139	179	160
BTBD1	152	29	58	238	201	149
BTBD10	26	12	32	50	73	81
BTBD11	20	1	7	39	26	32
BTBD16	0	0	0	0	0	0
BTBD17	0	0	0	0	0	0
BTBD18	5	0	0	1	1	0
BTBD19	12	1	6	34	25	12
BTBD2	211	16	30	248	149	106
BTBD3	86	21	73	90	77	69
BTBD6	55	23	32	58	58	58
BTBD7	107	12	48	199	113	121
BTBD8	0	0	0	0	0	0
BTBD9	50	7	8	120	92	66
BTC	29	1	16	20	27	18
BTD	124	12	26	161	95	85
BTF3	1040	184	297	1181	888	656
BTF3L4	114	18	41	173	151	114
BTG1	399	158	433	1175	1193	930
BTG2	1	3	8	29	16	20
BTG3	33	0	0	128	75	90
BTG4	0	0	0	1	8	3
BTK	0	0	0	0	0	0
BTLA	0	0	0	0	0	0
BTN1A1	0	1	2	2	1	0
BTN2A2	0	2	2	2	5	2
BTNL2	0	0	0	0	0	0
BTNL9	1	0	0	0	0	0
BTRC	75	23	35	142	102	84
BUB1	219	14	74	75	89	76
BUB1B	401	16	54	116	133	76
BUB3	319	38	67	338	316	273
BUD13	46	8	17	51	49	29
BUD31	106	30	44	142	157	141
BVES	0	0	0	0	0	0
BYSL	50	9	8	80	92	91
BZW1	562	75	177	792	735	701
BZW2	303	62	109	334	318	275
C1D	56	9	18	88	69	59
C1GALT1	75	20	37	136	84	70
C1GALT1C1	28	22	42	73	49	36
C1QA	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
C1QBP	324	43	54	361	394	341
C1QC	0	0	0	0	0	0
C1QL1	0	0	0	0	0	0
C1QL2	0	0	0	0	0	0
C1QL3	0	1	2	0	1	2
C1QL4	0	0	0	2	0	0
C1QTNF1	32	3	21	50	20	25
C1QTNF2	0	0	0	0	0	0
C1QTNF3	0	0	0	0	0	0
C1QTNF4	0	0	1	0	0	0
C1QTNF5	0	0	0	0	0	0
C1QTNF6	27	2	4	73	41	23
C1QTNF7	0	0	0	0	0	0
C1QTNF9	0	0	0	0	0	0
C1RL	12	4	0	59	14	20
C2	4	4	6	4	1	2
C2CD2	17	2	5	28	13	16
C2CD2L	49	11	42	97	70	58
C2CD3	82	7	19	142	113	69
C2CD4A	0	0	0	0	0	0
C2CD4B	0	0	0	0	0	0
C2CD4C	3	2	2	2	2	2
C2CD4D	0	0	0	0	0	0
C2CD5	59	11	18	72	38	35
C3	302	22	3	2559	402	128
C3AR1	0	0	0	0	0	0
C4B	4	0	0	507	87	51
C5AR1	0	0	0	0	0	0
C5AR2	0	2	1	0	0	0
C6	0	0	0	0	0	0
C7	0	0	0	0	0	0
C8A	0	0	0	0	0	0
C8B	0	0	0	0	0	0
C8G	0	1	0	8	2	3
C9	0	0	0	0	0	0
CAAP1	19	4	4	30	26	24
CAB39	254	63	117	485	333	330
CAB39L	66	3	12	112	98	50
CABIN1	211	29	70	478	325	264
CABLES1	2	0	5	5	3	7
CABLES2	60	18	30	103	66	54
CABP1	0	0	0	2	2	3
CABP2	0	0	0	0	0	0
CABP4	0	0	0	1	2	0
CABP5	0	0	0	0	0	0
CABP7	0	0	0	2	1	1
